46GP8-00,c092,Kitchen,food;stove;window
46GP8-01,c147,Kitchen,food;stove;window
N11GT-00,c098,Stairs,blanket;broom;floor
N11GT-01,c075,Stairs,blanket;broom;floor
N11GT-02,c127,Stairs,blanket;broom;floor
N11GT-03,c153,Stairs,blanket;broom;floor
KRF68-00,c018,Laundry room,clothes;door;phone
KRF68-01,c141,Laundry room,clothes;door;phone
KRF68-02,c148,Laundry room,clothes;door;phone
KRF68-03,c006,Laundry room,clothes;door;phone
KRF68-04,c002,Laundry room,clothes;door;phone
KRF68-05,c150,Laundry room,clothes;door;phone
KRF68-06,c000,Laundry room,clothes;door;phone
MJO7C-00,c015,Kitchen,cup;phone
MJO7C-01,c107,Kitchen,cup;phone
S6MPZ-00,c009,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-01,c011,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-02,c015,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-03,c019,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-04,c156,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-05,c059,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-06,c061,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-07,c061,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-08,c017,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
S6MPZ-09,c063,Home Office / Study (A room in a house used for work),chair;desk;food;phone;plate;snacks;table
7HVU8-00,c020,Hallway,bag;clothes;floor;hair
7HVU8-01,c004,Hallway,bag;clothes;floor;hair
7HVU8-02,c001,Hallway,bag;clothes;floor;hair
7HVU8-03,c144,Hallway,bag;clothes;floor;hair
7HVU8-04,c127,Hallway,bag;clothes;floor;hair
7HVU8-05,c127,Hallway,bag;clothes;floor;hair
7HVU8-06,c127,Hallway,bag;clothes;floor;hair
MCQO5-00,c148,Bedroom,bottle;clothes;picture;wardrobe;water
MCQO5-01,c106,Bedroom,bottle;clothes;picture;wardrobe;water
MCQO5-02,c000,Bedroom,bottle;clothes;picture;wardrobe;water
MCQO5-03,c107,Bedroom,bottle;clothes;picture;wardrobe;water
MCQO5-04,c002,Bedroom,bottle;clothes;picture;wardrobe;water
MCQO5-05,c110,Bedroom,bottle;clothes;picture;wardrobe;water
VPIYF-00,c015,Recreation room / Man cave,phone;shelf
JSUF4-00,c123,Basement (A room below the ground floor),broom;bucket;cup/glass/bottle;floor;sofa;water
JSUF4-01,c106,Basement (A room below the ground floor),broom;bucket;cup/glass/bottle;floor;sofa;water
JSUF4-02,c102,Basement (A room below the ground floor),broom;bucket;cup/glass/bottle;floor;sofa;water
JSUF4-03,c151,Basement (A room below the ground floor),broom;bucket;cup/glass/bottle;floor;sofa;water
JSUF4-04,c127,Basement (A room below the ground floor),broom;bucket;cup/glass/bottle;floor;sofa;water
8WJIR-00,c009,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-01,c106,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-02,c006,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-03,c154,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-04,c107,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-05,c131,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-06,c107,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-07,c152,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-08,c132,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-09,c110,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-10,c151,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-11,c135,Bedroom,bed;coffee;cup;door;glass;table;television
8WJIR-12,c109,Bedroom,bed;coffee;cup;door;glass;table;television
INQNU-00,c107,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-01,c135,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-02,c151,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-03,c106,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-04,c152,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-05,c004,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-06,c075,Bedroom,bed;blanket;clothes;cup;dish;glass;water
INQNU-07,c118,Bedroom,bed;blanket;clothes;cup;dish;glass;water
LI6LV-00,c034,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-01,c129,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-02,c106,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-03,c155,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-04,c148,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-05,c129,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-06,c001,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-07,c096,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
LI6LV-08,c002,Bathroom,clothes;glass;jacket;medicine;mirror;sink;sweater;towel;water
MGCM8-00,c011,Bedroom,chair;desk;laptop;table
MGCM8-01,c014,Bedroom,chair;desk;laptop;table
MGCM8-02,c059,Bedroom,chair;desk;laptop;table
I8QJN-00,c124,Kitchen,cup;floor;glass;sink;stove;water
I8QJN-01,c106,Kitchen,cup;floor;glass;sink;stove;water
I8QJN-02,c154,Kitchen,cup;floor;glass;sink;stove;water
I8QJN-03,c107,Kitchen,cup;floor;glass;sink;stove;water
I8QJN-04,c146,Kitchen,cup;floor;glass;sink;stove;water
XC9EY-00,c088,Hallway,cup;dish;glass;picture;table;wall
XC9EY-01,c109,Hallway,cup;dish;glass;picture;table;wall
XC9EY-02,c009,Hallway,cup;dish;glass;picture;table;wall
XC9EY-03,c118,Hallway,cup;dish;glass;picture;table;wall
XC9EY-04,c119,Hallway,cup;dish;glass;picture;table;wall
XC9EY-05,c107,Hallway,cup;dish;glass;picture;table;wall
DOQ9Y-00,c001,Pantry,bag;clothes;door;food;groceries;jacket;shelf
DOQ9Y-01,c006,Pantry,bag;clothes;door;food;groceries;jacket;shelf
DOQ9Y-02,c061,Pantry,bag;clothes;door;food;groceries;jacket;shelf
DOQ9Y-03,c097,Pantry,bag;clothes;door;food;groceries;jacket;shelf
DOQ9Y-04,c155,Pantry,bag;clothes;door;food;groceries;jacket;shelf
DOQ9Y-05,c081,Pantry,bag;clothes;door;food;groceries;jacket;shelf
